ds	yhat	yhat_lower	yhat_upper
2009-06-27	6.256338634748894	3.794928800883185	8.72627372568207
2009-06-28	6.117956760283652	3.7359185566029316	8.777338991378763
2009-06-29	7.393458470249701	4.744048442424483	9.853205542497452
2009-06-30	7.485226205543581	4.920051359744837	10.192368579323858
2009-07-01	7.6061526137261275	5.133591147823524	10.176303762532994
2009-07-02	7.595143505237541	4.923418659583308	10.137286539218596
2009-07-03	7.664448339485081	5.2318012228108355	10.292611802182106
2009-07-04	6.695924922182859	4.047377063200644	9.276727562559504
2009-07-05	6.609118688346395	4.174595506032321	9.324468250741832
2009-07-06	7.92961851009874	5.226682477159517	10.4032717907733
2009-07-07	8.059017214509693	5.576860330124246	10.459036245893401
2009-07-08	8.209603836913724	5.530943223286304	10.61380620544264
2009-07-09	8.219875520941809	5.644236392284769	10.784399878586173
2009-07-10	8.301871472852673	5.769438372969673	10.799234285496343
2009-07-11	7.337435689704673	4.711737930268962	9.736762923843875
2009-07-12	7.246289030213814	4.824214662704033	9.72385664158631
2009-07-13	8.554372910122586	6.041959916996913	11.149912048431373
2009-07-14	8.663793285363557	6.243501736902345	11.276518348234923
2009-07-15	8.787492546029647	6.382057122049205	11.218417610426622
2009-07-16	8.764737929177443	6.443564273522796	11.348732866500832
2009-07-17	8.808429632104186	6.284155128737122	11.37311267884315
2009-07-18	7.801336172258331	5.299257345976911	10.289815212273398
2009-07-19	7.664138416255056	5.160623048194923	10.426788937349384
2009-07-20	8.923745414189266	6.256828872732673	11.317796823998965
2009-07-21	8.983211532038112	6.334109405358247	11.70089471957362
2009-07-22	9.056383284755386	6.595236582307066	11.574963334594429
2009-07-23	8.98336518518076	6.505674719964045	11.527671517436229
2009-07-24	8.97780840444498	6.5518288116135865	11.531366838047697
2009-07-25	7.923130293781277	5.501199484059928	10.471678507436945
2009-07-26	7.740546570043653	5.144967064487321	10.332153916913414
2009-07-27	8.95737954726606	6.419442395327992	11.421942220394035
2009-07-28	8.976972014090192	6.383862521656952	11.492656073959456
2009-07-29	9.013335126499891	6.373294173177894	11.483828567239001
2009-07-30	8.906619460811287	6.298758741118545	11.307139499987759
2009-07-31	8.870412722992672	6.127841883329353	11.445143057708156
2009-08-01	7.787971746485962	5.007213715073361	10.467806004259467
2009-08-02	7.580270060015168	5.041384435235798	10.170703427344794
2009-08-03	8.7743238017818	6.355776430371838	11.2814880006981
2009-08-04	8.773124909462819	6.3974918831799314	11.259979738408004
2009-08-05	8.790309242709839	6.34597771381605	11.257403387031612
2009-08-06	8.665648051715296	6.257404604718319	11.237886176803867
2009-08-07	8.61236556148509	6.079697881487045	11.299344015485802
2009-08-08	7.513389606190921	4.988187058324732	10.173413537769038
2009-08-09	7.2894159480838	4.850519838818301	9.68970186507501
2009-08-10	8.467248481931641	5.899411054629283	10.938216121946597
2009-08-11	8.449743768433443	5.774497262775773	10.984305829063675
2009-08-12	8.450487172246026	5.880518133836563	11.015929315118633
2009-08-13	8.309288753523022	5.7445700792824015	10.831710838212206
2009-08-14	8.23950154242585	5.845252723436103	10.697869904974278
2009-08-15	7.124269119084943	4.598668334939762	9.760332151191673
2009-08-16	6.88458324977098	4.269837466134481	9.433288389908633
2009-08-17	8.047614020212261	5.550454544724814	10.481232540457784
2009-08-18	8.016641265105514	5.632684514933895	10.579532801566128
2009-08-19	8.005715028463733	5.472507301634885	10.632382030312998
2009-08-20	7.855133751039485	5.325494437937664	10.549525419649065
2009-08-21	7.778743431812677	5.236984310127717	10.214578754125373
